14.1.1.35. A tartós fogyasztási cikkek éves átlagos állománya a gyermekes, a gyermek nélküli és az egyszemélyes háztartásokban [100 háztartásra jutó darab];;;;;;;;;;;;;;;;
Megnevezés;Gyermekes háztartások: egy felnõtt egy vagy több gyermekkel;Gyermekes háztartások: kettõ felnõtt egy gyermekkel;Gyermekes háztartások: kettõ felnõtt kettõ gyermekkel;Gyermekes háztartások: kettõ felnõtt három és több gyermekkel;Gyermekes háztartások: egyéb;Gyermekes háztartások összesen;Gyermek nélküli háztartások: egyszemélyes;Gyermek nélküli háztartások: kettõ felnõtt mindketten 65 évnél fiatalabbak;Gyermek nélküli háztartások: kettõ felnõtt legalább az egyikük 65 éves vagy idõsebb;Gyermek nélküli háztartások: egyéb;Gyermek nélküli háztartások összesen;Egyszemélyes háztartások összesen;Egyszemélyes háztartásokból: férfiak;Egyszemélyes háztartásokból: nõk;Egyszemélyes háztartásokból: 65 év alattiak;Egyszemélyes háztartásból: 65 évesek és idõsebbek
LED-,LCD-, plazma-, lézertelevízió;115;141;143;137;171;142;78;119;115;157;104;78;76;79;81;74
Digitális kamera;10;8;12;7;12;10;2;7;3;8;4;2;3;2;3;2
Digitális fényképezõgép;21;29;37;22;32;30;14;21;17;26;17;14;20;10;19;8
DVD-lejátszó és -felvevõ;18;27;25;19;28;24;15;22;18;30;19;15;18;13;19;11
E-könyv olvasó;2;4;7;4;5;5;2;5;3;3;3;2;2;1;2;1
Házimozi-berendezés;6;9;8;7;8;8;3;7;2;6;4;3;4;2;5;1
Asztali számítógép (PC);49;43;53;58;65;52;24;40;36;57;34;24;31;19;27;20
Hordozható számítógép (laptop, notebook);95;104;125;105;96;107;42;87;53;108;62;42;45;40;60;23
Kézi számítógép (tablet, PDA);28;32;42;35;29;34;10;15;11;27;13;10;12;8;13;6
Mobiltelefon;210;265;280;334;360;284;115;194;181;289;167;115;122;110;124;106
Vezetékes telefon;30;40;42;35;46;40;44;38;66;62;50;44;31;54;29;61
Légkondicionáló;14;19;23;15;15;18;10;14;12;13;12;10;11;10;12;9
Nagyértékû riasztóberendezés;4;6;9;6;8;7;4;7;5;7;5;4;4;4;4;4
Motorkerékpár;2;7;9;5;17;8;3;5;3;11;4;3;6;1;5;1
Személygépkocsi;55;113;122;97;132;108;36;91;70;118;65;36;54;23;46;25
Ebbõl:;;;;;;;;;;;;;;;;
saját;54;106;114;94;126;103;33;89;68;114;62;33;49;22;42;24
